"","gene"
"1112","Med10"
"1113","Rpa2"
"1114","Adamts10"
"1115","Aph1b"
"1116","E2f7"
"1117","Trim36"
"1118","1810011O10Rik"
"1119","Kif22"
"1120","Nsun2"
"1121","Triap1"
"1122","Map9"
"1123","Ank3"
"1124","Zwint"
"1125","Anxa11"
"1126","Dek"
"1127","Cep63"
"1128","Adcyap1"
"1129","Rrp8"
"1130","Anapc16"
"1131","Sun1"
"1132","Mark4"
"1133","Fam58b"
"1134","Csnk1a1"
"1135","Klhl1"
"1136","Wdr82"
"1137","Ubr4"
"1138","Gpnmb"
"1139","Golga2"
"1140","Apaf1"
"1141","Apbb1"
"1142","Cdk12"
"1143","Apc"
"1144","Apex1"
"1145","Birc3"
"1146","Birc2"
"1147","Xiap"
"1148","Birc5"
"1149","Kbtbd3"
"1150","Reep3"
"1151","Wnt16"
"1152","Pard6g"
"1153","Nr2f2"
"1154","App"
"1155","Klhl3"
"1156","Pard3"
"1157","Cnppd1"
"1158","Rnf168"
"1159","Klhl29"
"1160","Ubr2"
"1161","Eef1e1"
"1162","Immp2l"
"1163","Sirt1"
"1164","Ehmt2"
"1165","Usp49"
"1166","Ube2n"
"1167","Rhoa"
"1168","Rhob"
"1169","Rhoc"
"1170","Brcc3"
"1171","Arntl"
"1172","Rab35"
"1173","Aph1c"
"1174","Adamts4"
"1175","Wdr62"
"1176","Champ1"
"1177","Gtpbp4"
"1178","Dicer1"
"1179","Slx4"
"1180","Haus4"
"1181","Atf2"
"1182","Rps6"
"1183","Peli2"
"1184","Rnf111"
"1185","C1rb"
"1186","Ddx39b"
"1187","Rps6ka2"
"1188","Adamts2"
"1189","Gins1"
"1190","Ctdspl"
"1191","Trim62"
"1192","Lcmt1"
"1193","Pja2"
"1194","Gadd45gip1"
"1195","Triobp"
"1196","Flna"
"1197","Mmp28"
"1198","Shox2"
"1199","Bcr"
"1200","Heca"
"1201","Mtus1"
"1202","Uimc1"
"1203","Wnt9a"
"1204","Prss38"
"1205","Ryr1"
"1206","Nlrp3"
"1207","Flcn"
"1208","Axin2"
"1209","Hexim1"
"1210","Cep131"
"1211","S100a9"
"1212","Bach1"
"1213","Bach2"
"1214","Bad"
"1215","Bak1"
"1216","Kntc1"
"1217","Bard1"
"1218","Barx2"
"1219","Lemd3"
"1220","Usp22"
"1221","Khdrbs1"
"1222","Bax"
"1223","Phb2"
"1224","Eif4g1"
"1225","Hist1h4h"
"1226","Bcl2"
"1227","Cntrob"
"1228","Bcl2l1"
"1229","Bcl3"
"1230","Kctd11"
"1231","Fbxo11"
"1232","Bdnf"
"1233","Spata22"
"1234","Prss36"
"1235","Apex2"
"1236","Tubgcp5"
"1237","Scrib"
"1238","Prss56"
"1239","Dis3l2"
"1240","Ube2k"
"1241","Ccl8"
"1242","Zfp385b"
"1243","Hdac4"
"1244","Bid"
"1245","Cxcl12"
"1246","Bcl2l11"
"1247","Wac"
"1248","Blm"
"1249","Cxcr5"
"1250","Bmp1"
"1251","Bmp2"
"1252","Bmp4"
"1253","Gjd4"
"1254","Bmp7"
"1255","Git1"
"1256","Taok1"
"1257","Trim6"
"1258","Trim9"
"1259","Trim11"
"1260","Mib1"
"1261","Smyd1"
"1262","Bop1"
"1263","Sfrp1"
"1264","Brca1"
"1265","Rbbp8"
"1266","Zfp36l1"
"1267","Zfp36l2"
"1268","Trnp1"
"1269","Capns2"
"1270","Sgk1"
"1271","Mapk1ip1"
"1272","Sh2b1"
"1273","Bora"
"1274","Birc6"
"1275","Bod1"
"1276","Cdk13"
"1277","Prc1"
"1278","Btc"
"1279","Adarb1"
"1280","Tada2a"
"1281","Btrc"
"1282","Bub1"
"1283","Bub1b"
"1284","Rhou"
"1285","Siah1a"
"1286","Siah1b"
"1287","Siah2"
"1288","Exd1"
"1289","Wdr76"
"1290","Afg3l2"
"1291","Tacc1"
"1292","Dab2ip"
"1293","Adamtsl2"
"1294","C2"
"1295","Stil"
"1296","Esco1"
"1297","Pitrm1"
"1298","Klhl14"
"1299","Sin3b"
"1300","Sipa1"
"1301","Six3"
"1302","Six4"
"1303","Vps4b"
"1304","Ski"
"1305","Skil"
"1306","Cacna1s"
"1307","Slbp"
"1308","Fntb"
"1309","Rnf217"
"1310","Dctn2"
"1311","Hinfp"
"1312","P2rx1"
"1313","Calm2"
"1314","Calm3"
"1315","Aspm"
"1316","Msl2"
"1317","Camk2a"
"1318","Camk2b"
"1319","Fkbp6"
"1320","Camk2g"
"1321","Adamts18"
"1322","Capn1"
"1323","Capn2"
"1324","Capn3"
"1325","Capns1"
"1326","Capn5"
"1327","Capn6"
"1328","Capn7"
"1329","Rps6ka3"
"1330","Batf"
"1331","Ube2s"
"1332","Plrg1"
"1333","Lsm10"
"1334","Casp1"
"1335","Slfn1"
"1336","Casp12"
"1337","Casp14"
"1338","Casp2"
"1339","Casp3"
"1340","Casp6"
"1341","Casp7"
"1342","Casp8"
"1343","Casp9"
"1344","Trip13"
"1345","Cast"
"1346","Smyd3"
"1347","Ctnnb1"
"1348","L3mbtl1"
"1349","Cav1"
"1350","Cav2"
"1351","Cav3"
"1352","Nup37"
"1353","Hltf"
"1354","Klhl11"
"1355","Smarcb1"
"1356","Parl"
"1357","Runx3"
"1358","Cbl"
"1359","Sirt7"
"1360","Fbxo7"
"1361","Usp2"
"1362","Asb16"
"1363","Sdcbp"
"1364","Traf7"
"1365","Mir26b"
"1366","Rb1cc1"
"1367","Cck"
"1368","Snca"
"1369","Ccna1"
"1370","Ccna2"
"1371","Aif1"
"1372","Cdc27"
"1373","Klk13"
"1374","Ccnb2"
"1375","Ccnd1"
"1376","Ccnd2"
"1377","Ccnd3"
"1378","Med30"
"1379","Adam33"
"1380","Ccne2"
"1381","Ccnf"
"1382","Ccng1"
"1383","Ccng2"
